docId,filename,0 phaedr soc lover,1 form general act,2 motion time things,3 thou things thy,4 friends good regard,5 cf callias 2,6 world moment eye,7 letter friendship caesar,8 nature part reason,9 reason idea knowledge,10 thing matter movement,11 life form beauty,12 state justice evil,13 man good things,14 process makes principles,15 things substance number,16 great life true,17 state government democracy,18 man sort thing,19 man men gods,20 principle earth state,21 city men citizens,22 soc men virtue,23 soc cal pol,24 good things rest,25 love socrates beauty,26 place body sense,27 science true definition,28 plat iii ii,29 gods pay fire,30 tragedy poet action,31 act universe vision,32 men citizens law,33 true good replied,34 thought time hope,35 pleasure acts bad,36 socrates soul body,37 time body eyes,38 age life men,39 soul principle intellectual
12,Greece_Aristotle_Physics.txt,2.1277276294933765E-6,6.273196463497165E-6,0.40216439408607735,1.6871902425746645E-6,2.2663470792416214E-5,6.566691388883763E-7,0.010014366161897605,2.9898429907176953E-6,0.11644657890838643,0.0024449504916630705,0.13260777216363182,2.067037694682946E-6,2.6419126006219594E-6,4.1593698025992195E-4,0.05833200753933113,0.04420503583274863,0.00352291327059989,2.7198795106943836E-6,4.7232345342341017E-4,0.0026792792790781353,0.02273033329005437,7.598406852655125E-6,3.6554784556253257E-6,1.4595291024216929E-6,0.012179842005190357,1.2915845916514244E-5,0.1787683596149223,0.009722650552654647,2.966336400420499E-6,6.109503131425772E-6,3.238538473692481E-6,3.640501440150576E-6,3.421938304783143E-4,1.708297997058825E-4,3.7536235262377905E-6,2.1273106358694302E-4,7.936616681099132E-6,7.044186414996252E-4,3.7346109499091162E-6,0.0017622471168163858
13,Rome_Plotinus_SixEnneads.txt,5.024544709593594E-7,0.02088615731319881,0.005092693146591258,9.844228790914226E-6,0.0014788975443910835,1.5506982200257425E-7,0.03870286668515311,7.060396064463874E-7,0.0670857701929473,0.08524011993924577,0.021783983600425758,0.12782112791710165,6.238772198406065E-7,0.0010050192004684851,0.02932266887807271,0.04964838307374106,0.007037816248606882,6.4228879753023E-7,0.012088818669201824,0.03005638529245368,0.06568859219019882,1.794333749472367E-6,8.632267909036318E-7,3.446620295012544E-7,0.07598675599246889,9.665221852236292E-4,0.006321380798430613,9.452153201984855E-4,7.004886180453727E-7,0.0040725848981406874,7.64768061910319E-7,0.0918707638165093,0.0015071243486376514,2.557560152396628E-6,8.864033614610188E-7,0.005897189193858418,1.43561282907045E-4,0.0026033634929217395,8.819136166983993E-7,0.24672497146381728
14,Rome_MarcusAureliusAntonius_Meditations.txt,4.064568193655149E-6,0.00933414306878075,0.00337344778425019,0.4722240879574686,0.019069668365223703,1.2544258290785701E-6,0.01553897923582741,0.0031385683260266575,0.04723551213844365,9.474835058953568E-6,1.5824186278388124E-5,3.94863306394862E-6,5.046808519124981E-6,0.006219749735813615,0.002544935319997147,9.268793093072893E-4,0.04187889758937722,5.195747611913564E-6,0.015955268065704232,0.227321793969375,0.010641055866829617,0.010177197174705329,6.983009130197788E-6,2.7881179363308764E-6,0.02028694645745419,0.004762163837027597,3.993422558978984E-4,5.134940312213062E-6,5.666550745360896E-6,1.1670897986572876E-5,8.259767773562968E-5,8.336554194242288E-5,0.015018982986709778,2.068919324957499E-5,7.1704942795401625E-6,0.03968170476360294,0.005975230376494035,0.021976649695482124,0.0038276913345442567,0.002220228757783879
15,Greece_Aristotle_Metaphysics.txt,1.656645680899655E-6,4.88430176994133E-6,0.00993950848447932,1.3136439032297015E-6,1.764574585676248E-5,5.112816497939407E-7,3.2265373280098016E-4,2.3278874647691347E-6,0.08767533237970473,2.218685316696429E-4,0.2210964455551875,1.6093925846931067E-6,3.320081185791606E-5,0.0017564637711368544,0.01495855901383825,0.31941509716388805,0.006635913032184419,2.117694286383916E-6,0.0069079530876044485,0.005885629348773091,0.0704554402095897,5.916108678424546E-6,2.8461502831428493E-6,1.1363872660007558E-6,0.010230659257746931,1.0056259107681703E-5,0.043639541002876356,0.19219062153251407,2.309585267275088E-6,4.756850376346973E-6,9.05692373792264E-4,0.0031172167387904103,0.001605615992985967,8.432547076393E-6,2.922565894369576E-6,9.912988546705199E-6,3.732326086171681E-5,0.00288424603124091,2.9077627297064498E-6,1.7548880538727593E-6
16,Greece_Aristotle_NicomacheanEthics.txt,1.9678593524054376E-6,5.801855537829796E-6,2.644597306864284E-4,1.5604220446807371E-6,0.0024255985732362538,6.073298520380655E-7,4.942500150912877E-4,2.765199083732618E-6,0.07625201986729267,4.587238273518462E-6,0.029196266397585137,3.890615921123856E-5,2.443410682508072E-6,0.36311506959285317,0.01610389038218043,0.00581294063534573,0.022902258993017347,0.002074203589062462,0.12155659831634259,0.022935889476885733,0.009406223122164763,6.729272319806524E-4,3.3808215707250488E-6,1.3498663806853492E-6,0.024952640240237304,0.005006193429810587,0.009663915453988016,0.009547048971595844,2.743458677245292E-6,4.1258918936741876E-4,2.995208660752327E-6,3.3669698635964795E-6,0.029246126976268525,4.701109591207079E-5,0.0010763100570413513,0.23829289764996495,7.340293534693016E-6,0.00845731635365983,3.454008390690631E-6,2.084557313041558E-6
17,Rome_EmperorJulian_Mispogon.txt,1.2676876403232413E-5,3.737533654149307E-5,3.542256155878786E-5,0.004299753397247923,0.08592905196461098,3.912396209042563E-6,8.582258013977324E-5,0.007643948805604719,0.036980966704940756,2.678675517828904E-4,7.643038472817784E-4,1.2315289331725873E-5,1.5740360298936067E-5,0.010580897094351154,5.495140536788732E-4,3.1019045942208285E-5,0.09677403210682464,1.6204882575579808E-5,0.06310820919764656,0.09627572822423774,0.0012536709817019469,0.35513720491581724,0.0012133627975274169,8.695788775711875E-6,0.009412849612903128,0.02033387426477111,2.9223127564626997E-4,1.6015232264405088E-5,1.7673258267315766E-5,0.07725102196284092,1.9295022252396016E-5,2.1689894027257172E-5,0.05756656985230939,0.004592544939670016,2.236386878038142E-5,0.01008515836574003,0.001477186302205743,0.04280419589538171,0.015036204851604432,1.3428640304288175E-5
18,Greece_Plato_Phaedrus.txt,0.2660254652916522,0.006469999537320315,5.57380455623096E-4,5.666985389882795E-6,0.038366638306486005,2.205640076716281E-6,0.01899211181547982,1.0042374664628759E-5,0.04476305062441636,1.6659475149403605E-5,2.7823454067965154E-5,6.942828449641704E-6,4.1193179410293926E-4,0.007174227158906815,0.011729770624272438,1.7487198948181436E-5,0.11689666775673152,6.808990440475747E-4,0.05008777394479322,0.08598333309380732,0.0036625246717422373,0.00338433891197565,0.013716252120417395,0.010618764517704157,0.022234996697660013,0.08764133351482419,9.708634940210169E-4,9.028696541175697E-6,9.963420021329677E-6,2.052078308158E-5,0.00538498514732966,1.2227825856613559E-5,0.012972407324571219,0.09099314606733573,0.002430956134780338,0.0028641704806535613,0.0045946490768586645,0.08982962124035611,1.254392371172967E-5,4.106285461715163E-4
